,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
47,0.286,0.125,-16.159,0.0418,0.91,0.758,0.095,0.0863,82.975,1EjfCGPicAauZwnbFrTczK,515000
48,0.297,0.0633,-19.62,0.0388,0.985,0.929,0.102,0.118,118.488,4lFx2FM6gJAAmF4ksne6D5,147500
49,0.353,0.162,-18.429,0.0434,0.975,0.0423,0.114,0.202,82.492,792SR2zDdaZ7OMwimDxiBP,227973
50,0.519,0.0656,-19.002,0.0464,0.992,0.893,0.0995,0.0487,115.447,3rd1Chqzxr95fcyBaJl0JZ,223600
51,0.117,0.0539,-20.521,0.04,0.905,0.849,0.102,0.035,79.136,64aL0VyWo5oQlrpPqP64fa,1154520
52,0.326,0.0249,-29.941,0.0407,0.993,0.882,0.0991,0.122,69.068,4qm1pq8QhtkTZb6B9sVeKo,174995
53,0.312,0.294,-18.546,0.0463,0.897,0.798,0.217,0.336,154.287,39ovHITfN2WH4Qc20EcHfU,177533
54,0.492,0.136,-21.885,0.0415,0.971,0.843,0.307,0.187,138.536,51rskBaEIPxrRsDshsVv62,180107
55,0.32,0.12,-18.393,0.0438,0.967,0.918,0.0844,0.253,75.656,3wTmV7TKNDnRwpm09r7jXc,370133
56,0.384,0.367,-21.506,0.0469,0.865,0.807,0.291,0.346,99.119,4253JEtHxhqMAPYd1ncAzG,135533
57,0.264,0.217,-17.487,0.0351,0.897,0.931,0.152,0.528,134.681,01Qvi6KCkAsQF3iXMLPbgc,181333
58,0.32,0.127,-15.953,0.0366,0.929,0.813,0.25,0.272,144.451,2SvULYdmPes23yZQYeLkXV,135773
59,0.398,0.403,-15.921,0.0379,0.913,0.948,0.184,0.793,133.434,3fFJQjsYfrsalH89jnqaHV,82733
60,0.0989,0.268,-18.126,0.048,0.84,0.905,0.132,0.0375,73.346,0RGkfHMMOwkb9RMmM8G4YP,232627
61,0.157,0.13,-19.645,0.0375,0.751,0.952,0.0894,0.102,172.902,7cgv0XwBiqG0EgNDLF0j6F,262773
62,0.57,0.211,-19.762,0.0387,0.73,0.641,0.1,0.386,125.62,6d0rnGsTfUJRPycYrln0Zn,104307
63,0.404,0.463,-13.042,0.0343,0.679,0.912,0.142,0.442,91.15,2AGBfucMScnOiXNMBEOvQs,177907
64,0.462,0.289,-16.337,0.0445,0.801,0.688,0.107,0.283,114.176,2lr6bxNtdnJfemDXURZ9Rt,240013
65,0.261,0.262,-18.633,0.0416,0.82,0.914,0.584,0.171,139.7,31AAP3oAHkRLwBSEJQba5h,378560
