,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,3dYD57lRAUcMHufyqn9GcI,241688
1,0.768,0.82,-4.63,0.0474,0.179,0.0,0.689,0.625,129.965,2V4bv1fNWfTcyRJKmej6Sj,213293
2,0.558,0.559,-9.222,0.0959,0.371,7.49e-06,0.109,0.62,78.558,7KA4W4McWYRpgf0fWsJZWB,180387
3,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,4Ub8UsjWuewQrPhuepfVpd,214148
4,0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093
5,0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,7wMq5n8mYSKlQIGECKUgTX,202533
6,0.497,0.865,-3.19,0.0644,0.0306,0.0679,0.443,0.595,125.96,78W8wiUIlQ2SnWY9TVowKZ,174203
7,0.616,0.789,-4.874,0.0377,0.053,0.0,0.142,0.621,83.066,6wJwkMo278iWVlWl1XQ4WA,227373
8,0.751,0.783,-3.724,0.0859,0.00379,0.0,0.036,0.816,119.975,2CEgGE6aESpnmtfiZwYlbV,202613
9,0.706,0.842,-4.628,0.038,0.0476,0.0,0.134,0.818,104.958,71R6zJsrF3ffc3TBFHfivX,224720
10,0.327,0.941,-3.294,0.353,0.0231,0.0,0.0636,0.707,129.738,6ku3i5WNrsY3qhOq6ua9TL,199236
11,0.472,0.815,-4.002,0.319,0.171,0.0,0.265,0.81,98.017,2N2QvMYwyYHE8V4KZbbG4i,230413
12,0.754,0.933,-5.786,0.0448,0.0199,0.0,0.297,0.75,103.992,0ltBH1JNzSvQJPjJpvTu9B,225000
13,0.56,0.959,-2.433,0.102,0.000722,0.000221,0.209,0.669,163.983,45hOioMDJktr86iKDHC8gr,216600
14,0.728,0.859,-5.237,0.137,0.0401,0.0,0.111,0.535,65.043,6epn3r7S14KUqlReYr77hA,214240
15,0.693,0.822,-5.441,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,5HE3z4Ew7wZ91l3ZOpGKa4,223800
16,0.687,0.855,-5.341,0.0416,0.0486,0.0,0.233,0.647,130.029,1j7GNdjuK5wfmvxCbVcWMY,218373
17,0.58,0.75,-4.421,0.194,0.159,0.0,0.274,0.728,86.938,69ghzc538EQSVon2Gm3wrr,229107
18,0.695,0.628,-6.498,0.0442,0.0539,0.0,0.32,0.529,144.114,0seHreoI3kwp38OlEgLLnT,236200
19,0.612,0.84,-3.145,0.0509,0.112,0.0,0.116,0.438,129.042,2V65y3PX4DkRhy1djlxd9p,212862
20,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343
21,0.492,0.857,-2.634,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,4zuy08yhEhlu5YSTM3WqRD,222500
22,0.448,0.784,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245,62yJjFtgkhUrXktIoSjgP2,186813
23,0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,3bC1ahPIYt1btJzSSEyyrF,224653
24,0.695,0.869,-5.066,0.0483,0.41,0.0,0.237,0.58,124.989,05SBRd4fXgn8FX7bf8BCAE,234507
25,0.589,0.966,-4.106,0.0972,0.03,0.0,0.147,0.802,129.983,3tgZ9vmhuAY9wEoNUJskzV,204200
26,0.772,0.685,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.033,2iJuuzV8P9Yz0VSurttIV5,283400
27,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,247427
28,0.781,0.526,-6.986,0.293,0.0633,0.0,0.0457,0.665,94.993,6CjtS2JZH9RkDz5UVInsa9,235613
29,0.691,0.921,-1.702,0.0533,0.173,0.0,0.331,0.8,130.072,0BBZuOGGBj9u4X3rAfmae8,201000
30,0.49,0.885,-4.121,0.0396,0.00218,0.0,0.0741,0.64,166.996,37sINbJZcFdHFAsVNsPq1i,245467
31,0.693,0.822,-5.441,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,3zrYNl1aMdFrQkcOjKVr5u,223800
32,0.663,0.705,-4.972,0.0385,0.0654,0.0,0.117,0.477,122.014,1QzFhzIOW7CyRJLpmq5CM0,257387
33,0.727,0.937,-2.871,0.286,0.00417,0.0,0.091,0.749,132.067,03UrZgTINDqvnUMbbIMhql,219493
34,0.668,0.758,-3.589,0.158,0.0338,0.0,0.204,0.531,135.958,4yOn1TEcfsKHUJCL2h1r8I,229507
35,0.683,0.708,-6.244,0.0305,0.0398,0.155,0.686,0.355,92.991,2XMTqoHHSH0lvuXrvIEdco,237707
36,0.504,0.912,-2.867,0.259,0.199,0.0,0.105,0.248,189.983,43lwHSTEexXRVVeXZtAtfi,218539
37,0.635,0.647,-5.864,0.0366,0.192,0.0,0.154,0.201,104.058,6LtPIXlIzPOTF8vTecYjRe,262693
38,0.586,0.896,-4.132,0.372,0.00945,0.836,0.121,0.103,125.744,0WSjVLITbxV6kVXndziQDm,160000
39,0.73,0.861,-4.1,0.0451,0.39,0.0,0.213,0.704,117.965,3P3pw6C19j31Rnzgo3JG7o,196613
40,0.678,0.842,-5.37,0.0553,0.0414,0.0,0.202,0.493,122.016,6smhpAoDKenJyDztNHf0HH,204587
41,0.513,0.768,-4.868,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,3cNjgVBKTJ1SvKhunrCdVy,210580
42,0.504,0.847,-6.81,0.0442,0.00434,0.0,0.816,0.28,127.854,6lBQ0SMCrJ7zy1LSCuXqwV,211890
43,0.56,0.551,-5.446,0.0563,0.445,0.0,0.163,0.263,119.777,476j7IDRIDRvv1Xu71EVc8,233337
44,0.444,0.819,-4.078,0.341,0.106,0.0,0.107,0.747,82.695,3QGsuHI8jO1Rx4JWLUh9jd,187973
