,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.901,0.939,-2.762,0.274,0.117,0.0,0.0643,0.805,142.948,717QGTmZdkemDaCo1vQHG0,356347
1,0.681,0.62,-10.588,0.0266,0.308,1.46e-05,0.0543,0.81,115.083,0tZdYg6Tf2aGq2C4FyNzwN,248748
2,0.912,0.598,-7.718,0.0877,0.0718,1.12e-06,0.0892,0.533,98.006,2QpUWi6VSNOt2WyH5FIeLD,180840
3,0.943,0.584,-6.661,0.304,0.281,1.2e-06,0.151,0.659,98.996,1Vf09Cxf2jqSkU6sfueYAq,231440
4,0.909,0.797,-4.827,0.208,0.155,0.0,0.166,0.834,128.064,1RighqmKZNqLP9rklJ4HCz,200187
5,0.813,0.64,-5.908,0.272,0.269,0.0,0.131,0.488,92.989,65RWVU6N81CeH65nu52K1U,147076
6,0.811,0.797,-5.428,0.165,0.0617,0.0,0.112,0.541,97.988,7sKDftgGirHWTVFMtJoDoh,171133
7,0.826,0.685,-5.982,0.0387,0.0307,0.0,0.0774,0.641,99.001,2imLYhuE0rBYnSrhXDOaRX,185853
8,0.531,0.877,-6.604,0.877,0.49,0.0,0.306,0.346,75.137,0C9qil6cXEEJ8AzrMUEHv6,360120
9,0.649,0.574,-7.856,0.143,0.635,1.28e-05,0.161,0.361,199.906,7rBP4bLjMLNkix1nGHjheP,196800
10,0.752,0.724,-3.591,0.114,0.205,0.0,0.124,0.45,100.01,1HOtCYTuOCISpTn9cW6fcz,203227
11,0.668,0.44,-8.253,0.0754,0.783,2.06e-05,0.0963,0.676,173.739,5DPmVIialQzVljzeuBksmM,246173
12,0.703,0.442,-10.383,0.0823,0.594,2.39e-05,0.276,0.381,115.932,2jX5c5RFp0A9E1GDsvGxIa,189480
13,0.755,0.823,-5.45,0.0343,0.0322,0.0,0.457,0.651,111.036,616O2jmafiModH0RgonGqf,219760
14,0.671,0.576,-8.452,0.0499,0.626,0.0,0.094,0.655,153.108,6L34Uvr1kdTDKRffmoEjVt,162333
15,0.54,0.874,-6.753,0.139,0.331,7.35e-05,0.361,0.67,135.026,1DCJJCT2TwJO1OxZ9E7px9,216493
16,0.868,0.693,-7.052,0.181,0.0597,0.00399,0.106,0.396,114.999,3F1P0QzdXtBz0MXy7KIO5w,156911
17,0.726,0.942,-6.926,0.0794,0.161,0.0,0.279,0.793,134.086,6ByIxebQfxt6uo05Vap2cO,227067
18,0.677,0.715,-7.497,0.0451,0.217,0.0,0.0881,0.841,125.589,3ldwNSA0NpfIWao5qIeGa3,210160
19,0.707,0.672,-5.503,0.112,0.17,0.0,0.101,0.961,132.058,3rfDjFBGWeDW88inQfLzmm,184077
20,0.724,0.697,-6.594,0.0539,0.138,0.000717,0.126,0.961,130.014,7ixCRBD0FZMRBeOBhTu2KD,194493
21,0.648,0.753,-5.383,0.0702,0.319,0.0,0.105,0.628,101.997,1Oa6WPyiLIRaY5x0jl8GMC,207547
22,0.723,0.679,-6.774,0.0307,0.272,0.000211,0.064,0.859,117.392,51BbACodhBnd9lBs2TI0YT,274627
23,0.778,0.829,-7.151,0.0443,0.382,1.72e-06,0.131,0.694,120.038,0JxfYuCzWDzNAoVwqb4z9F,277760
24,0.674,0.742,-8.177,0.236,0.216,3.37e-06,0.0902,0.422,99.804,0zJhQWSLhffFIf5bDT86qB,175000
25,0.512,0.609,-7.198,0.0443,0.381,0.0337,0.127,0.641,97.411,20JkWEjZsdwrlXbanS1gtC,193733
26,0.728,0.742,-5.969,0.038,0.0564,0.0,0.0757,0.799,127.749,0Wh6e5EkmQseBGVeJqzC9X,232440
27,0.618,0.741,-6.299,0.0493,0.345,0.0,0.719,0.738,112.955,73oVDoxJHbqOIkZ0C9ir31,218133
28,0.459,0.776,-5.385,0.0359,0.287,0.0,0.159,0.749,122.004,55mXuPsEm6aboDIM68RM74,265400
29,0.626,0.769,-6.167,0.05,0.306,1.73e-06,0.111,0.579,115.981,0n9eeQnvzmMcq0l4DeGWQH,227333
30,0.68,0.616,-8.528,0.107,0.167,0.0,0.127,0.229,109.842,6r6nk82xSKVf9SoJTY1w2p,253013
31,0.603,0.862,-3.468,0.0621,0.471,0.0,0.0814,0.563,167.935,5MghJzhlqDluxRWPSoKdSj,258000
32,0.747,0.804,-5.696,0.0597,0.348,4.01e-06,0.0855,0.777,145.035,3rwMnxm6pSGxKVFs1AXwJg,265707
33,0.649,0.618,-7.691,0.0779,0.0215,1.16e-06,0.0911,0.381,92.02,1p9dxTMtG4gZpLp7yzvT54,192613
34,0.7,0.794,-8.191,0.0484,0.479,0.00028,0.0921,0.858,164.287,2KzUa9x2TNzHVsx4sVuHsx,273680
35,0.491,0.595,-5.993,0.0305,0.373,0.000937,0.127,0.544,147.089,4nW6Wp4e05chTk14pCo3DY,182420
36,0.595,0.818,-3.115,0.0555,0.153,0.0,0.0878,0.411,112.686,0DVC2pMTkDmkoAW3XyIdYe,306120
37,0.464,0.915,-5.226,0.0488,0.319,0.0192,0.0788,0.602,148.91,2kkuEKckbZRRZDbpFR5OuN,224093
