,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.277,0.886,-7.724,0.0648,5.36e-05,0.874,0.181,0.434,81.707,1SEZDfakTMMmUcHildSzsx,271933
1,0.573,0.897,-3.549,0.0553,0.00473,0.0,0.278,0.463,126.034,3e2KBwxibC1rq4bA5TNKW2,210653
2,0.588,0.96,-5.216,0.0933,0.0013,0.000306,0.135,0.321,105.009,02RDt0n6EXpYemu5mhMxjh,302613
3,0.476,0.979,-3.506,0.132,0.0014,0.00729,0.0944,0.416,140.404,5arVt2Wg0zbiWwAOZef2Nl,202053
4,0.457,0.904,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,0C80GCp0mMuBzLf3EAXqxv,317427
5,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,255493
6,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,2SiXAy7TuUkycRVbbWDEpo,210173
7,0.481,0.724,-5.642,0.0324,0.0018,0.177,0.11,0.2,116.322,1gij27s31tFKcTHa8f1u4g,271000
8,0.387,0.74,-5.822,0.0476,0.00862,0.000113,0.345,0.816,197.839,56OSb0BpuPI9tp4tDvhC8i,272640
9,0.361,0.799,-6.962,0.0392,0.000173,9.13e-05,0.496,0.576,143.077,1soxeK1ZBX9SsSjK4j4ECa,252453
10,0.632,0.688,-6.149,0.0311,0.00404,0.0867,0.0894,0.615,113.187,4iAZhaVvrX1d1By5f0QWSB,305507
11,0.475,0.639,-7.921,0.0421,0.0026,0.0163,0.15,0.656,125.167,5Pa0DPtpyGUlpRJgxq9BMk,314427
12,0.547,0.931,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,4feXJ5IC3avXsVW9WNFSag,261507
13,0.605,0.9,-2.717,0.0291,0.000522,0.0271,0.0466,0.467,120.895,4OrKIUhgiIiOefxwmrVedV,202160
14,0.372,0.873,-5.049,0.0426,0.00225,0.137,0.0638,0.481,159.991,0h3A3hdDq762DzIOKUoF21,230400
15,0.395,0.951,-5.469,0.107,0.0484,0.00334,0.315,0.514,157.614,0u8J52fqQhQXKvAC23ICvO,225027
16,0.466,0.929,-4.889,0.0674,0.0298,0.00944,0.362,0.543,126.659,6D1r9yXvmn0zcw5vZuPSw5,268720
17,0.668,0.906,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,2d4e45fmUnguxh6yqC7gNT,231933
18,0.431,0.955,-4.09,0.162,0.2,0.703,0.14,0.481,118.051,4eutZb21bHZerJnxqW5lB0,171093
19,0.475,0.607,-6.528,0.0929,0.0755,0.0802,0.169,0.668,131.149,7EERPGGkPTXUcjXFo4o7jN,327493
20,0.491,0.932,-4.379,0.0631,0.00765,0.519,0.0562,0.459,122.226,1L21YTLKh6eJaIjQWRgzo7,250587
21,0.474,0.932,-5.31,0.0487,0.00149,0.467,0.439,0.531,123.787,4tEO5sXXoEOtxEPZJ15pgO,255147
22,0.456,0.863,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,7nemcVsXVFZF01iqpIIo2Y,301227
23,0.444,0.922,-4.519,0.0529,0.00635,0.0,0.305,0.301,140.206,7sicPw7V9SYJl3Zjme9i4p,225533
24,0.586,0.84,-5.341,0.0487,0.0122,0.0116,0.0842,0.0784,132.36,6FWoYwZa13llS7nj0SG65F,348600
25,0.754,0.759,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,7LRMbd3LEoV5wZJvXT1Lwb,214667
26,0.384,0.778,-12.719,0.0567,0.000372,0.000114,0.191,0.594,164.768,1anccAjNKZNKlTbHGheeCA,255160
27,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,2zYzyRzz6pRmhPzyfMEC8s,208400
28,0.512,0.979,-4.267,0.156,0.0513,0.00102,0.358,0.535,137.794,6Wn3pdFtAcnYJyJVITwt7N,203293
29,0.233,0.87,-4.653,0.0643,0.00791,0.0198,0.251,0.409,162.003,5xquYn2sr3uEcyuKU9BmCJ,310000
30,0.524,0.906,-4.301,0.0963,0.037,3.64e-05,0.309,0.605,123.1,2j0zExWFB0PowLOeoZosjK,266267
31,0.476,0.889,-5.733,0.1,0.00102,0.102,0.17,0.493,115.754,7sZKoFbEu4mPuCMX5cxLSb,235707
32,0.531,0.864,-4.534,0.08,0.00164,0.132,0.884,0.665,130.722,6pivm7pNF4GyBkHNGseHCS,202867
33,0.648,0.831,-4.635,0.0329,0.000514,0.564,0.0951,0.834,129.855,7HbHwtTGM3kCjDtmP00x4h,154507
34,0.487,0.932,-4.001,0.117,0.0311,0.149,0.43,0.54,141.243,7zscdQe9CjzXnqT3P1Ey7K,274227
35,0.511,0.838,-5.026,0.0516,0.0019,0.0653,0.24,0.551,120.181,1Kbc8nH6BhsWnTuM22qypl,257173
36,0.251,0.73,-5.002,0.0615,0.024,0.0137,0.181,0.482,197.304,7w04gIWA7mIbqR03Ghyrkl,387960
37,0.257,0.958,-2.946,0.157,0.000945,0.439,0.762,0.401,165.352,23t7CA5Oa5D1gRXyQL7wm8,245000
38,0.493,0.586,-13.916,0.046,0.0202,0.00106,0.102,0.656,113.618,4MYb7NWLwXNDB7bYs3HeX8,232533
39,0.433,0.803,-5.378,0.121,0.0858,0.354,0.0838,0.401,134.84,7A944u5mXbkCz0I5BdLckI,331480
40,0.596,0.792,-5.556,0.0768,0.0289,0.252,0.458,0.394,137.391,0L0x35hQnmCLtHeSGQlEZj,214853
41,0.332,0.725,-5.809,0.116,0.000209,0.607,0.0767,0.422,182.364,753KutoAy00apPsplMRetG,366347
42,0.443,0.869,-3.9,0.126,0.00305,0.104,0.0867,0.703,134.208,5wTuWXWREngkFGtBXhOaI9,324693
43,0.401,0.723,-4.348,0.0552,0.0146,0.209,0.167,0.247,127.781,7EIPa69XVt6wTdLRkXklXq,369053
44,0.604,0.737,-5.284,0.175,0.181,0.0146,0.346,0.417,128.056,79KUOd1p6yNjh2Jkr9IQHk,254120
45,0.292,0.838,-4.459,0.078,0.0014,0.479,0.0953,0.423,159.176,4wYq5wugZDzQiMZQYG4wVB,333800
46,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,57bgtoPSgt236HzfBOd8kj,292880
47,0.555,0.867,-10.098,0.0336,0.094,2.48e-05,0.403,0.871,114.562,1Hdql8hTSnqWXWz3YjaVRV,218373
48,0.452,0.821,-4.816,0.0324,0.0165,3.53e-06,0.13,0.414,108.529,7A1odihHBrI8n9k0Fefh2j,250333
49,0.514,0.825,-5.135,0.0487,0.000286,0.293,0.607,0.655,125.274,6rvldt6EoZwzogApECUCwd,207147
50,0.51,0.74,-8.427,0.0385,0.199,0.0,0.391,0.608,132.689,2WNP92cnREKAU4PmzwfKvf,182560
51,0.478,0.914,-4.396,0.0323,0.00281,0.000508,0.0814,0.665,100.021,6Q8MVZbQHD8oTJyQ6tujxx,192261
52,0.653,0.73,-10.613,0.0429,0.0115,1.02e-05,0.0776,0.894,108.709,4JfuiOWlWCkjP6OKurHjSn,220311
53,0.419,0.958,-6.24,0.0524,0.0165,0.000345,0.0786,0.719,122.077,3WPYapjyqcVpShYXQuChcs,280431
