,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.855,0.847,-9.019,0.042,0.234,0.00062,0.345,0.89,122.644,7ohR0qPH6f2Vuj2pUNanJG,255133
1,0.724,0.346,-11.256,0.0366,0.199,0.0,0.111,0.637,117.188,37j56IWzpplKE5zrlQRmxc,196707
2,0.253,0.697,-10.187,0.086,0.284,8.19e-06,0.31,0.798,203.105,6aV0WWBCfqTMgQ93nmRAAe,233400
3,0.669,0.489,-12.16,0.0345,0.791,0.0295,0.0885,0.755,93.913,7BV8osoHvF7y677e746rhZ,180827
4,0.477,0.632,-12.237,0.0427,0.426,0.534,0.0799,0.598,93.453,2sfFb4rfoPvYeer3r9pwet,196867
5,0.633,0.634,-12.115,0.0725,0.038,0.0064,0.0385,0.872,100.499,1h2xVEoJORqrg71HocgqXd,245493
6,0.581,0.797,-4.468,0.0305,0.136,0.0,0.133,0.828,134.257,45AplSG9SRs0dwvrB8RufC,172200
7,0.881,0.482,-12.35,0.0546,0.0439,0.000532,0.236,0.97,131.092,7bSQiaklAL3NFAiqW6bSsV,307893
8,0.731,0.804,-7.621,0.0473,0.172,0.00028,0.0685,0.957,107.383,7GVUmCP00eSsqc4tzj1sDD,205933
9,0.645,0.739,-4.845,0.0444,0.186,0.81,0.0384,0.522,103.008,52d8baQxvV3AkHcAyXCkkO,179417
10,0.902,0.743,-11.136,0.229,0.000755,0.00104,0.0555,0.423,98.944,3fatX7w8Wt9nmwGlXZsRFh,228267
11,0.884,0.679,-5.857,0.282,0.0957,0.00209,0.0289,0.591,76.993,5Tl0HJvynZtKdSUMKbFVVX,238467
12,0.747,0.928,-6.107,0.0824,0.0297,1.75e-06,0.113,0.87,100.065,6U7GUjtamt2P0LcFod1dBT,262840
13,0.645,0.645,-4.657,0.322,0.0614,8.6e-06,0.119,0.555,130.241,3hX4oYznwMulMXCMeT6Ia9,283493
14,0.804,0.856,-3.597,0.298,0.149,0.0,0.37,0.774,87.078,50rD4dwcDpQJrs5goAeEBT,215827
15,0.659,0.757,-5.275,0.038,0.128,0.485,0.0859,0.553,104.997,0rdWkO7ncrh1lrJGDmLq9L,348093
16,0.746,0.765,-5.487,0.054,0.366,0.00156,0.0799,0.972,154.971,27CgDxfu01fKsQCzn2UFVR,207192
17,0.628,0.42,-10.547,0.177,0.395,2.55e-06,0.104,0.337,165.304,2HEgBBls7l0smWTxPx0MtZ,166133
18,0.629,0.696,-5.572,0.348,0.0195,0.0,0.0554,0.623,93.034,3QHPHLAkYV5cQBUYs6rowx,207627
19,0.639,0.628,-7.578,0.0399,0.0381,0.0,0.386,0.43,90.482,5TRPicyLGbAF2LGBFbHGvO,237507
20,0.667,0.747,-7.059,0.189,0.337,0.0,0.115,0.918,86.917,4iz9lGMjU1lXS51oPmUmTe,203493
21,0.729,0.442,-8.106,0.285,0.151,0.0,0.189,0.757,81.029,4pdLZsxq0y5oJDb6Cxlokw,259307
22,0.514,0.617,-6.851,0.186,0.00231,0.626,0.113,0.244,92.109,5rI0lmvmena4CW3C4zwZ4v,303640
23,0.622,0.884,-6.715,0.0467,0.0403,0.371,0.282,0.561,109.722,2tn9zXqIZJbgL1swqwOktz,227973
24,0.664,0.953,-2.839,0.0579,0.187,0.0,0.113,0.952,125.671,6qk9YFIATDEj7STYyCnZA8,240933
25,0.586,0.985,-5.427,0.282,0.000576,0.177,0.462,0.155,152.597,2EiYIBGH83p6ORjs14Rdgy,236893
26,0.728,0.914,-5.786,0.123,0.0835,0.00149,0.199,0.682,101.789,2nZESHV3Ezs7KOtd3Q2tWG,211960
27,0.509,0.889,-6.152,0.104,0.00715,0.919,0.111,0.135,124.72,33UiEegBZYdvYyYBXXxfhd,235587
28,0.447,0.848,-6.175,0.222,0.033,7.46e-05,0.65,0.485,172.253,1ixbwbeBi5ufN4noUKmW5a,205200
29,0.639,0.912,-2.621,0.0615,0.00107,0.0,0.097,0.343,143.448,6nzXkCBOhb2mxctNihOqbb,227520
30,0.582,0.844,-5.072,0.0864,0.00601,0.00169,0.104,0.299,178.104,0cVeP9t3QChKYHKNGWfPnD,251800
31,0.633,0.856,-6.879,0.226,0.00141,1.53e-06,0.681,0.62,133.133,6cL7d5UxAmU4gr0PVzk2Z9,207467
32,0.689,0.807,-4.551,0.0318,0.00258,1.43e-06,0.0971,0.822,124.278,60r0mEqH580d1kYWGeEpwM,209213
33,0.634,0.845,-5.058,0.352,0.00602,5.29e-06,0.0598,0.929,94.0,3gY6tiCNsuVi6s8kPV6aQg,237027
34,0.78,0.797,-5.964,0.307,0.129,0.0,0.0929,0.648,86.235,1MvH3FdvO17S2eQ4IeNRCo,220413
35,0.863,0.599,-8.733,0.254,0.278,7.58e-05,0.141,0.69,94.991,0fIWksZVQ2E762W7zAvwWx,333467
36,0.487,0.369,-13.424,0.0406,0.736,3.75e-05,0.0925,0.106,183.114,1gk3FhAV07q9Jg77UxnVjX,289307
37,0.648,0.718,-7.765,0.0298,0.129,0.00156,0.112,0.785,96.017,1LPGwuFgIzbJoShfDdw7MY,230693
38,0.793,0.839,-5.607,0.12,0.0208,0.0573,0.0419,0.748,112.001,2oIohk2OuLiFhGwrcm6l87,266267
39,0.625,0.877,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,2bfGNzdiRa1jXZRdfssSzR,230426
40,0.405,0.413,-10.384,0.0342,0.972,0.0005,0.156,0.4,124.982,4hjGZN8poACfjWCK3Og6vY,131867
41,0.499,0.637,-9.035,0.0401,0.0265,0.228,0.226,0.103,125.198,2k6hpKTyubRVOmQR11ViY3,268400
42,0.889,0.454,-8.598,0.221,0.0141,0.000186,0.203,0.436,100.36,3QRM0qZB7oMYavveH0iEqx,250467
43,0.636,0.946,-4.683,0.332,0.115,3.75e-05,0.0416,0.891,125.085,6ZyNjT2hYvfV5PuW84dp1E,238747
44,0.844,0.754,-5.46,0.207,0.00833,3.42e-06,0.0575,0.961,100.002,4ZOyH6KjomjlqCz3oFqglr,187840
45,0.428,0.559,-6.374,0.067,0.395,3.56e-05,0.136,0.607,86.459,6RB9YvNyP0RZfCUcMtZELH,162467
46,0.711,0.867,-5.885,0.0291,0.0578,6.85e-06,0.0765,0.906,119.022,1mlXiPFjY3ampLGRCMbRQe,308507
47,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,6K4t31amVTZDgR3sKmwUJJ,216320
48,0.602,0.881,-5.875,0.0443,0.00462,0.0266,0.111,0.577,125.012,2X485T9Z5Ly0xyaghN73ed,467587
49,0.455,0.836,-6.536,0.0435,0.497,0.000522,0.296,0.555,151.978,6M2ZYgZ2cdu5oCHGI8wamV,337867
50,0.675,0.585,-6.886,0.0264,0.314,0.666,0.0888,0.113,109.982,2uG7RbrJSq5bZWv7ufDyTg,411440
51,0.424,0.783,-5.833,0.0435,0.182,0.789,0.143,0.314,175.062,5sMJP9TRb930RzMVaAUq2v,248933
52,0.408,0.668,-6.794,0.0502,0.702,0.742,0.124,0.246,119.942,0k4hXSjWVAAQfCfTfekSL9,181693
53,0.544,0.546,-8.515,0.0294,0.112,0.33,0.523,0.109,109.994,6BRHU5wP4zMmPDqnBscklp,343193
54,0.794,0.523,-8.728,0.0319,0.094,0.0343,0.314,0.35,120.008,38N652WFlybpjmR0YsPGCp,231000
55,0.721,0.443,-5.853,0.276,0.00601,0.000204,0.0868,0.176,74.003,0UubhGSWqaUfJY0UmYwD4Y,247840
56,0.541,0.591,-6.688,0.0336,0.289,0.000431,0.124,0.116,111.676,0cBPuDA3xUjR4Vh9o7CKy8,306320
57,0.571,0.647,-6.079,0.0532,0.196,0.0,0.0802,0.649,81.979,5eUS6rHmHP5T1A3zZwyG50,233587
58,0.579,0.689,-6.675,0.0508,0.626,6.35e-05,0.321,0.374,123.799,5dpuZwCAHJV9Qo74QPJib9,229600
59,0.369,0.238,-14.994,0.0269,0.554,0.0425,0.125,0.0578,73.899,3aXuXjIXG5B2jtlsWKLd1l,258667
60,0.234,0.747,-3.332,0.0576,0.22,0.000166,0.157,0.359,81.805,6zzrw2i5U1vk5yrRW6RvQV,207186
61,0.725,0.747,-5.545,0.0876,0.0272,0.0468,0.104,0.38,132.921,4yffABDkB5A9flvr9vQFck,191956
62,0.282,0.547,-8.621,0.0322,0.03,0.888,0.104,0.133,151.468,3xMQOd1C3TXsjQ3pmzOmkC,410187
63,0.556,0.702,-5.792,0.0423,0.0054,0.0,0.218,0.452,132.33,5S7kFUo496CoItemffWQb9,207040
64,0.541,0.72,-5.021,0.0333,0.00516,0.00231,0.0969,0.539,136.809,2LhnW02jJHTYgtBpk9BVrs,205038
65,0.599,0.803,-4.527,0.0274,0.00942,0.0234,0.0756,0.433,115.001,5kD3YIjkuBdsicB5p6QVvv,212524
66,0.584,0.907,-5.445,0.0375,0.257,6.27e-05,0.106,0.514,139.003,19WlD7aTevMMuO0qsgO9Bx,202960
67,0.597,0.323,-11.992,0.039,0.613,0.828,0.0799,0.358,75.006,0fd0506d5oBAQDyBF6TZ05,195080
68,0.851,0.349,-9.439,0.0494,0.0899,0.56,0.0992,0.696,114.991,7isMboCA1MiX3CfHn1cogJ,372375
69,0.872,0.61,-7.965,0.0421,0.0847,0.322,0.643,0.559,114.995,4Vldw0eUgCbhgyxAWY6JMk,311493
70,0.726,0.679,-6.443,0.0333,0.132,6.73e-06,0.159,0.345,83.047,7eN0Sdh3AE1VKKLSsFwKBh,211618
71,0.745,0.714,-3.681,0.0751,0.0141,0.0222,0.363,0.365,104.003,4bz7uB4edifWKJXSDxwHcs,393813
72,0.665,0.916,-2.442,0.0356,0.674,0.00159,0.154,0.819,146.081,3U9Vj3RzlJioIP2KfUIII1,175987
73,0.618,0.475,-9.05,0.165,0.718,2.33e-05,0.0994,0.313,84.964,2SUbEGOWS0cUV19uFjQQxR,320035
74,0.699,0.83,-4.898,0.0633,0.00243,0.00024,0.0995,0.889,105.809,6kopmMZiyLmw7h66uXcXR7,219413
75,0.649,0.878,-7.753,0.0428,0.277,0.162,0.424,0.645,109.989,4Z3pwfHNEp40Fa6iqAaPf8,196053
76,0.637,0.833,-7.52,0.0412,0.0447,0.416,0.0624,0.773,100.065,7qIKgTscMhoV5vulInJnFE,192405
77,0.622,0.647,-7.511,0.0301,0.022,0.00111,0.109,0.277,108.003,3naM0aExICteWgsNwcPBHh,195294
78,0.881,0.874,-4.505,0.139,0.0175,1.14e-06,0.154,0.858,107.891,0weAUscowxeqDtpCgtbpgp,227933
79,0.801,0.581,-8.491,0.0681,0.0968,0.000318,0.0971,0.656,107.545,2FK7fxjzQEXD7Z32HSF0Hl,227267
80,0.877,0.534,-6.178,0.15,0.0339,1.67e-05,0.0441,0.89,108.17,6e8Ou0wiqAzIpWb2eSxll8,197560
81,0.685,0.725,-4.791,0.177,0.13,0.000925,0.592,0.381,75.996,4ZrEjG3Vef85NTve8ptC9Q,448533
82,0.731,0.807,-6.492,0.1,0.181,0.751,0.319,0.765,114.759,2bLqfJjuC5syrsgDsZfGmn,179120
83,0.572,0.913,-3.626,0.0425,0.018,0.0,0.293,0.724,79.986,5Lm8wha7kmEuqyjJ237HNM,261747
84,0.825,0.663,-9.414,0.0687,0.423,0.415,0.286,0.417,116.051,4TNFLwe6DhtR3Wn1JKMqMJ,248987
