,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
48,0.729,0.621,-10.816,0.0491,0.0079,0.56,0.364,0.752,123.033,1qSV1gcj1gNdShwcUvSire,158964
49,0.749,0.718,-9.334,0.0394,0.0919,0.565,0.0936,0.695,122.005,3A8c3gjtGIKsV14B1YakjW,163468
50,0.719,0.794,-8.116,0.0394,0.0499,0.773,0.113,0.524,120.036,22GoAG7vI5pPJo5QN04Dmj,186979
51,0.675,0.601,-10.689,0.032,0.117,0.833,0.36,0.603,114.014,3FU3b6Hhx3JaZiCWIP6nMk,112338
52,0.726,0.696,-10.324,0.0544,0.112,0.882,0.106,0.469,122.007,1gSWFZUYARYGcsfDu7SEnx,168197
53,0.873,0.665,-8.96,0.0675,0.126,0.28,0.123,0.479,122.002,2fXRRokZuK2GVmYyosQUp9,166230
54,0.645,0.654,-11.871,0.04,0.146,0.847,0.13,0.672,122.002,1VAoVhrH6JF1cWtNL8U5zF,160171
55,0.604,0.878,-7.329,0.0332,0.0191,0.88,0.106,0.272,122.015,6jX0H1X3YEhzPOLRe18jR2,177049
56,0.761,0.744,-10.353,0.0438,0.233,0.792,0.115,0.509,123.988,7tVC0auIo7Hl7PPCUWT2ak,128209
57,0.685,0.667,-8.929,0.0314,0.214,0.853,0.411,0.513,114.015,04ipDfIljb5n6Ax5quddHl,110945
58,0.728,0.765,-6.828,0.0412,0.353,0.00884,0.237,0.652,116.008,6gj2YySoWhwl7Dfyg0V17O,144242
59,0.796,0.626,-10.452,0.0733,0.364,0.807,0.0889,0.566,121.984,3xspwOV6s1df45WKQ294Iu,145574
60,0.785,0.697,-9.817,0.0437,0.00999,0.868,0.0726,0.113,120.011,0OA5vaZLXKT2Pl81DziiaQ,242000
61,0.5,0.626,-9.459,0.0534,0.636,0.631,0.128,0.625,199.907,4VzYk6VRnCjyZ7arGc6rJ0,197400
62,0.759,0.729,-9.385,0.0598,0.277,0.758,0.061,0.49,119.968,2w5KxMsVtCmjnmDWT564J3,198000
63,0.747,0.769,-8.649,0.0341,0.0174,0.926,0.067,0.957,116.008,22eD2KSETbsy42sCK51jQ2,202339
64,0.697,0.712,-11.054,0.0286,0.088,0.866,0.129,0.937,114.969,5CTtrlz8uwULvbl9Ki3uL1,126021
65,0.718,0.596,-12.57,0.0506,0.404,0.698,0.097,0.745,121.017,6SC52S2BeLgWYpUFzUrDfV,143985
66,0.842,0.68,-8.022,0.0493,0.00748,0.193,0.34,0.573,103.01,0SNdYKe6Pj5tE0pT5SgXIY,170017
67,0.793,0.572,-10.518,0.107,0.0983,0.418,0.118,0.662,118.028,6Vra6z8wPsvZq7uXrz4ADx,140686
68,0.748,0.659,-10.049,0.0468,0.165,0.762,0.353,0.848,124.017,6nvaSktf97Ene16C7RcYzq,218297
69,0.714,0.693,-9.72,0.0413,0.024,0.757,0.163,0.873,123.011,5ygK4n8eF8556pk0M64904,175055
70,0.763,0.567,-9.139,0.0432,0.43,0.0484,0.168,0.534,121.992,52lLNDJ4KmzbPcqRVnoJcf,160868
71,0.712,0.55,-8.808,0.0323,0.476,0.56,0.143,0.324,121.009,5puWImv1TsYOT9c2jkr1Kk,160496
72,0.721,0.426,-11.729,0.0422,0.633,0.707,0.111,0.235,121.024,7AjBcug7xtdAgUNwNONAsJ,208264
73,0.805,0.843,-8.596,0.0469,0.162,0.702,0.0846,0.893,120.026,3SHKZUI5450p3oAZGwJDLZ,201102
74,0.756,0.508,-11.488,0.0558,0.284,0.921,0.124,0.342,123.033,2V0jhhAQJpXw9unqs5VeQR,142803
75,0.741,0.467,-11.873,0.0629,0.445,0.842,0.0762,0.179,122.005,0ZSkMl7DdQtB111QtTnzpe,173115
