,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.667,0.567,-8.306,0.0837,0.159,0.000377,0.0953,0.89,130.473,2GLMrCyMO5wnfkRVuSskco,154149
1,0.827,0.622,-5.468,0.059,0.128,3.76e-06,0.398,0.839,135.0,1OsDuLief1bBcTvYLfdmL1,190642
2,0.924,0.798,-4.9,0.0369,0.173,5.83e-06,0.367,0.913,125.073,6cyTCh7cjgxVdJowVJH2aI,175360
3,0.757,0.581,-5.893,0.0285,0.458,0.0,0.196,0.895,106.183,63v4kADWsz5OzlMoJaJTYc,108800
4,0.778,0.658,-3.401,0.0313,0.165,0.000573,0.264,0.871,140.06,0EBjxRr6P1l9TeDsBOg8Lo,151562
5,0.607,0.389,-9.104,0.0285,0.549,0.0327,0.254,0.544,119.871,02srEzGLaZi7inpEHfBiOK,172669
6,0.847,0.529,-12.894,0.0309,0.3,0.00266,0.199,0.87,100.035,6IhFw55EiipPXU9jU9ukT2,204173
7,0.715,0.438,-7.576,0.0301,0.132,1.02e-05,0.62,0.687,123.03,0awENkteVN2XI0A2uw3p3s,164184
8,0.816,0.565,-11.555,0.036,0.352,1.38e-05,0.0768,0.965,119.983,679VCjP1C3DBkVBEeB34yU,136003
9,0.516,0.351,-11.012,0.044,0.709,8.61e-05,0.116,0.796,159.757,6xfOJl9l0Gc5WxjmBAvQsA,127027
10,0.887,0.719,-6.101,0.0305,0.474,2.47e-05,0.536,0.893,114.998,5fwsDW86gqPEk976UqaMHf,157401
11,0.829,0.886,-1.746,0.112,0.259,0.0,0.0559,0.777,115.056,5ygDXis42ncn6kYG14lEVG,80927
12,0.716,0.591,-7.309,0.0514,0.219,1.41e-05,0.0672,0.984,179.941,08Sz6rpPYhEpNhyHrhzpTZ,166000
13,0.459,0.206,-9.694,0.0282,0.673,0.0,0.294,0.354,160.072,097ftnCPnGHhn93lS0HHlO,177477
14,0.93,0.477,-10.455,0.0898,0.657,0.0,0.143,0.967,119.997,6kkD5wZyq1L1ousAXSvqsI,168000
15,0.827,0.327,-11.139,0.0399,0.605,0.0,0.11,0.97,150.034,44ZCbIUyIvHkq3zdx6zoiG,142509
16,0.72,0.822,-9.809,0.133,0.096,0.455,0.36,0.88,131.736,5dplq6kgm3l0BGtBI5YzoU,86335
17,0.959,0.2,-12.65,0.155,0.8,0.00398,0.0842,0.717,119.925,1nTBgueuGtO762MadGoWvZ,169302
18,0.975,0.243,-11.689,0.0695,0.806,0.0,0.151,0.817,120.103,3haP3mk7a0lb2VJ5Psg2hU,159126
19,0.722,0.423,-12.452,0.042,0.692,3.74e-06,0.0875,0.944,180.018,1TohQ1NkOm8B954rG4O0dV,183917
20,0.862,0.366,-12.04,0.0464,0.676,0.00011,0.0813,0.929,109.986,6hmzgYLfxy1S5E24rNuPO1,185952
21,0.77,0.8,-6.95,0.0918,0.189,1.84e-06,0.0527,0.706,127.075,5BQGyMBudjN88xPtEWC9bX,261002
22,0.782,0.707,-6.305,0.0309,0.171,0.00432,0.0955,0.828,111.949,6sjhbLUapGzwoVKixOEd80,206511
23,0.662,0.676,-6.474,0.0516,0.0722,0.0,0.137,0.812,180.072,5TIiwKGAQ9QFgXuSthvBcs,245316
24,0.852,0.811,-2.323,0.205,0.285,0.0,0.0718,0.952,140.011,0KRHj9HK0QLP5TKXWjJ5MA,127805
25,0.692,0.782,-5.39,0.0747,0.016,0.0,0.143,0.71,180.031,1uAQ1IJqe5ohXiISj5hD0x,182700
26,0.78,0.787,-6.27,0.0277,0.00883,4.87e-06,0.0203,0.962,119.992,6aAic5KCXmZOLwx1dWUkH2,150727
27,0.781,0.875,-6.209,0.108,0.116,0.0,0.11,0.497,135.041,0Rqlq41d8z9pTjzgnRU3pO,187801
28,0.565,0.735,-4.394,0.067,0.259,0.00301,0.241,0.554,200.132,3U4zwqDluCkzBALgGwOqYR,161672
