,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.662,0.838,-9.315,0.0502,0.0525,3.32e-05,0.0759,0.876,104.958,1E373JrTigq8ZPfo8oY3XX,392080
1,0.627,0.626,-13.575,0.0334,0.737,0.724,0.107,0.769,98.106,3MIOc3WJsAUi2rDQAYWlS4,255295
2,0.627,0.81,-6.473,0.0465,0.0934,0.00302,0.133,0.358,94.964,440MRqLorksy4ZcTW14Us5,304106
3,0.685,0.636,-8.519,0.033,0.25,0.0352,0.119,0.357,95.977,6ue3UcOg1Pd4Sq8CioXm7N,297853
4,0.799,0.94,-8.87,0.046,0.303,0.802,0.0687,0.943,119.973,0ZwYZtuzNLUSNxWLvoEBqo,317595
5,0.612,0.351,-13.089,0.041,0.0584,0.87,0.177,0.72,147.214,3CqorQauM4A5WUbwEMoP6b,553027
6,0.708,0.704,-6.252,0.0296,0.00101,0.0846,0.107,0.596,120.005,3nE4fea7wlNVOps0VHBpIk,239040
7,0.534,0.572,-9.931,0.0952,0.41,0.755,0.134,0.775,176.005,2a7UmlmBZzjYU1stkIDVJ1,288267
8,0.802,0.67,-7.936,0.0575,0.215,0.729,0.139,0.919,156.021,1ZJP8SMpfRr5b2nyp04TtH,273573
9,0.873,0.677,-8.197,0.0361,0.0181,0.662,0.0481,0.578,115.979,4eKX1N90Xjs8qLe6pKP6Ou,216240
10,0.809,0.837,-10.137,0.0789,0.00626,0.886,0.131,0.437,122.007,7j8brkYKQZ0NabgnvARQQL,519344
11,0.588,0.766,-9.413,0.0329,0.0717,0.00251,0.345,0.821,107.045,6vYwWkMktPrG6SlLlfcufu,252693
12,0.569,0.694,-7.729,0.0308,0.769,0.847,0.0889,0.555,91.987,6SPZnV3hyd4MfX8Ft22Gg9,288993
13,0.729,0.442,-9.628,0.0356,0.835,0.424,0.0901,0.592,120.954,0vcdNvf4JqpLuJ8kvTSq01,260240
14,0.769,0.767,-10.51,0.04,0.0744,0.824,0.0814,0.927,97.001,6jg58d6uVwQtIaQ9I3pfTC,313973
15,0.766,0.47,-10.293,0.0468,0.318,0.731,0.111,0.3,104.212,3UlnJXlneUrxhFKLLlcg4s,300853
16,0.882,0.518,-8.089,0.0508,0.277,0.0,0.0752,0.72,115.035,5gI8ZsEe8WzqP9rGELDeaD,235600
17,0.747,0.805,-8.29,0.041,0.0206,0.885,0.0455,0.964,123.995,0dUgGWA9xzq7AQbcNZE8Rt,490507
18,0.599,0.663,-7.87,0.0869,0.302,0.687,0.19,0.537,111.966,64YG5duT5ji6CId3RKFdsV,175089
19,0.418,0.65,-8.805,0.0343,0.549,0.0217,0.301,0.879,78.304,6p8aKgh6DuCX3PkrZjsesD,202000
20,0.789,0.461,-15.028,0.0521,0.103,0.85,0.149,0.721,126.973,6ACqOYZjFUErEh7bVMm7Ut,536280
21,0.772,0.678,-9.746,0.0978,0.0695,0.481,0.0821,0.743,90.989,2Okaa5qvE4X0UQWKlg8TDZ,303573
22,0.641,0.65,-8.616,0.0353,0.427,0.442,0.103,0.273,118.032,5rJjZv9jgkcjGfAbqxjd1Z,377347
23,0.648,0.481,-6.496,0.0354,0.707,0.00146,0.118,0.425,150.155,3AnZNMAjKSAO4jTpdmkb6H,291547
24,0.568,0.638,-7.125,0.04,0.0323,0.0449,0.262,0.648,159.962,0ORJ5xDN4NgNfgkx7A9Xzu,224560
25,0.485,0.443,-10.661,0.034,0.584,0.768,0.109,0.751,154.626,6dhMLkJ8q1OPRfsBYGfp8T,241467
26,0.556,0.75,-8.921,0.043,0.276,0.0793,0.455,0.715,130.915,2A9PS0ab2c3Jl8E4pRXYW1,146077
27,0.635,0.605,-8.525,0.0572,0.54,0.0,0.392,0.727,99.019,6qq1dsw1hYntISNTReOfS7,277427
28,0.637,0.844,-6.172,0.0468,9.1e-05,0.447,0.0918,0.664,126.971,7JKwnuHliReMGg6XYxDQrx,410627
29,0.502,0.805,-14.955,0.0402,0.476,0.85,0.31,0.671,124.047,4ae3Y5sq6nEWmcisFS3iXJ,328987
30,0.465,0.763,-7.552,0.0501,0.00867,0.497,0.315,0.422,101.06,0scFZGHEsohuS29kBEFC4U,321200
31,0.878,0.496,-9.832,0.0464,0.39,0.275,0.0625,0.88,111.77,1ABXkIv9ql3gOcbqij3IaQ,296960
32,0.645,0.513,-15.282,0.0326,0.373,0.931,0.107,0.954,120.207,4w5AoGxBNTlAuVJvvmtWg1,404413
33,0.614,0.59,-16.712,0.0495,0.842,0.925,0.132,0.553,119.951,1SeY8E1Tl9Dg6G1cs0zbzi,334032
34,0.861,0.664,-7.483,0.121,0.0913,0.00026,0.138,0.841,87.993,1eMoRFItM0mtaIUQEbp4ji,314173
35,0.162,0.256,-11.296,0.0346,0.0332,0.0923,0.0621,0.0784,108.893,1s9i7W8zx7Nxx78MUIsvjV,247027
36,0.718,0.694,-7.874,0.0312,0.682,0.697,0.122,0.672,100.021,64ZFGT08sZHec62uQayIFw,327973
37,0.57,0.458,-11.241,0.0338,0.869,0.892,0.11,0.708,114.74,3avlGH6UyuVTml1iC93Uun,657040
38,0.588,0.529,-13.619,0.0303,0.747,0.902,0.0821,0.369,124.909,4sbEATyOEnk6P6KQkx8IZi,429440
39,0.727,0.748,-7.962,0.0299,0.24,0.173,0.0738,0.924,123.044,6aYowk302QyPhTOQO6l9vB,281387
40,0.739,0.619,-9.263,0.0552,0.000851,0.364,0.0755,0.797,130.011,1CthknKRLsMv9bEr2fpTm9,456973
41,0.329,0.877,-9.242,0.0526,0.39,0.92,0.583,0.792,163.01,08dLcp3ts2OF10W49t9Jjb,228240
42,0.828,0.59,-11.048,0.069,0.0302,0.753,0.0896,0.663,116.008,6QsIBli4N8s3NHcEUIzEl5,318680
43,0.442,0.629,-8.978,0.0513,0.345,0.908,0.129,0.502,153.325,72JureXlyO8n61K5uTroPK,402893
44,0.554,0.882,-6.853,0.0347,0.000495,0.0141,0.0523,0.55,103.983,76goxsQ8sCHFrjI0Meowwr,226747
45,0.532,0.874,-5.183,0.0482,0.00842,0.012,0.452,0.361,91.038,0U0ldCRmgCqhVvD6ksG63j,258413
46,0.51,0.397,-9.609,0.0346,0.0689,0.399,0.0845,0.106,120.033,2pLcymfJiN2xMDEYsj9dRs,208000
47,0.7,0.519,-12.982,0.0452,0.272,0.0374,0.358,0.749,98.354,0gGXqjUbDAQJxVBQiI8uyi,241387
48,0.75,0.606,-9.37,0.0327,0.2,0.000291,0.0581,0.929,126.95,6UpUF4JWJKLzXSeel7htx9,191613
49,0.789,0.626,-6.781,0.0299,0.125,1.17e-06,0.125,0.659,116.04,4qTdpanJSNbWxWmj57jFyM,220680
50,0.714,0.717,-9.594,0.0475,0.0349,0.0423,0.0567,0.837,121.026,7g6smN9NLRmwDrp4gLOxvK,285427
51,0.761,0.819,-6.277,0.0349,0.124,0.0152,0.0462,0.971,136.017,0dtl5kg1XIk1pyIiqCfXeA,151440
52,0.289,0.54,-10.883,0.0269,0.0746,0.839,0.139,0.263,91.771,1EGeFu9iGhEtCgBoZ3l7Iz,426907
53,0.241,0.763,-10.419,0.0934,0.854,0.787,0.307,0.0721,185.997,6BRojw1UQMgKqYLO4gyfp3,252012
54,0.452,0.729,-13.523,0.0347,0.379,0.892,0.118,0.136,90.034,4ZgKE2aPz2pZ9mlaxyP4OS,432493
55,0.602,0.881,-5.875,0.0443,0.00462,0.0266,0.111,0.577,125.012,2X485T9Z5Ly0xyaghN73ed,467587
56,0.697,0.952,-3.332,0.0426,0.13,0.081,0.24,0.937,112.868,3d5Ux3qejDETZe5dGA02W9,197760
57,0.73,0.564,-8.675,0.0384,0.000276,0.879,0.0848,0.37,120.017,1agq91mCv2y4giqdHTyBPa,412307
58,0.583,0.468,-7.683,0.0367,0.23,0.0013,0.0756,0.609,172.036,4T1QStj2ZO7mgObaA3a6If,342027
59,0.68,0.987,-5.253,0.0749,0.231,0.921,0.0836,0.562,125.967,2tKkXNhbC7NQad5XeLRPvr,393535
60,0.645,0.748,-5.33,0.0371,0.00632,0.802,0.096,0.726,116.726,36UuTdDuOzqWGhYo1vPcIz,289360
61,0.805,0.942,-9.429,0.0461,0.0746,0.754,0.11,0.788,131.993,3AwyvLLEf0EGZ962argvJa,429147
62,0.327,0.412,-12.479,0.0293,0.139,0.823,0.109,0.158,79.836,6Z24cacjGniq7W82dGPueS,304213
63,0.541,0.562,-6.94,0.0518,0.519,0.00892,0.129,0.359,91.84,016DqyEf0MAOREBKdeq7lS,285387
64,0.701,0.523,-14.337,0.046,0.202,0.838,0.761,0.728,101.989,6bSSgGfn5prw3RMJEVI6xU,433307
65,0.734,0.977,-4.479,0.0488,0.254,0.466,0.17,0.672,120.001,0r6zXL6TmAgcAqLFwuK6kl,348761
66,0.78,0.798,-5.151,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,7FESgYLcOufHqKlwrvJN60,163251
67,0.732,0.807,-5.279,0.0566,0.000258,0.524,0.174,0.154,120.006,2alCkmpVrLDrIKcYSmuHbE,196347
68,0.573,0.926,-3.865,0.0655,0.02,8.41e-05,0.306,0.486,128.039,3xYO4yKfpBcSGD4ol0PORD,243750
69,0.736,0.746,-7.147,0.0468,0.0939,8.46e-06,0.135,0.895,116.034,1JKh2bRSYxx04pBEmFM6Bt,269947
70,0.779,0.655,-7.055,0.0424,0.841,0.0,0.131,0.836,134.975,40shQVO7gSn2eVy9aekLAI,275933
71,0.495,0.741,-14.733,0.0515,0.119,0.434,0.0715,0.707,186.45,6BbvkljzmkiV0TCEUuvH1U,291933
72,0.696,0.75,-6.898,0.0416,0.534,6.9e-05,0.109,0.957,99.955,2mjN46GjsbsZZ5CBKbKSLh,280507
73,0.38,0.358,-14.906,0.0347,0.735,1.12e-05,0.0774,0.529,96.081,61jPiguaQ3bSLOyTLcdeAl,250867
74,0.831,0.766,-8.949,0.0546,0.0329,0.856,0.11,0.551,122.019,339dwcSBa8oxVZxicvJG3c,483840
75,0.79,0.965,-7.236,0.0484,0.0966,9.49e-05,0.225,0.791,130.015,3TTQ1zdTno0pVjU7iwLmlp,262853
76,0.542,0.831,-8.007,0.035,0.000525,0.724,0.268,0.0356,102.032,30Tn88JevcvG2yAPNejcw4,286120
77,0.853,0.907,-5.768,0.317,0.0236,0.000105,0.0348,0.532,127.729,0Chkt3oN1SMWisrkltW0dJ,217500
78,0.623,0.932,-5.12,0.0363,0.000925,0.0,0.419,0.865,126.004,0xsBWtuL2L1B7zltNmHOfO,169441
79,0.744,0.774,-13.562,0.0522,0.0535,0.838,0.0732,0.638,110.718,2AkbW03vqVJJByjjAOE8WZ,358907
80,0.68,0.64,-6.691,0.0336,0.29,0.00593,0.124,0.738,105.981,7qxDU2QyH24KHW0OSGotVw,322267
81,0.554,0.341,-13.808,0.0442,0.866,0.0235,0.229,0.614,112.187,3Zw2dXg5ztyZFO7K4Tt69E,320667
82,0.465,0.712,-7.852,0.215,0.00935,0.00327,0.0887,0.302,161.996,4d4e05nmDeuWaLgT94sIPb,358053
83,0.863,0.66,-10.808,0.0418,0.0722,0.906,0.129,0.85,106.004,29sajE8tYNoXo5BeJOPaCk,278491
84,0.658,0.82,-8.297,0.0292,0.0475,0.752,0.123,0.368,116.005,4EdeqMI3JVUZiTPz8oYoBH,399333
85,0.555,0.943,-2.627,0.0852,0.000154,0.0329,0.179,0.547,133.251,7DE8Z6z4oCf2E8OmzFcUBZ,213507
86,0.55,0.756,-6.021,0.0365,0.179,9.74e-05,0.202,0.226,93.964,59D19AU5al19V3Ub7OrZGQ,221534
87,0.577,0.491,-8.611,0.0352,0.537,0.00035,0.132,0.46,81.806,6JaMKDMYDGz2BdJtDua2xu,316627
88,0.436,0.9,-5.561,0.0551,0.0036,0.00273,0.42,0.757,122.846,1TRd7GUVVGoO6xGNw9scm8,291293
89,0.805,0.861,-8.187,0.0466,0.00129,0.957,0.0754,0.486,123.996,1NfCKH3QUmliGaTaH7yoFM,464262
90,0.343,0.197,-11.692,0.0389,0.936,0.846,0.0836,0.105,171.236,2BSSP6EBi4goIAKYbW3Etp,355427
91,0.71,0.912,-7.481,0.0363,0.0717,0.72,0.847,0.678,102.983,30P2yQt8SvkIUvnK1RKGXj,342826
92,0.528,0.718,-7.936,0.0772,0.00289,0.758,0.0896,0.408,105.392,5XSJsjkiL4j0w19zNatMN7,338987
93,0.743,0.511,-9.283,0.0352,0.177,0.317,0.109,0.54,78.006,5wzcPk3fbMPQitZjw2668w,307440
94,0.568,0.779,-9.948,0.0397,0.0196,0.886,0.0897,0.449,159.953,3BzwGmB7Onwegm9dithx82,265827
95,0.506,0.832,-3.913,0.0596,0.00154,2.15e-05,0.087,0.32,140.903,37uhDMKdcqZbj80LGZCHPN,195587
96,0.72,0.8,-5.045,0.0819,0.18,0.000312,0.115,0.519,128.098,1qKjiKcM5S5dC0zFXeqxyq,532840
97,0.553,0.714,-8.383,0.0381,0.112,0.113,0.0824,0.885,93.351,4xHBbkAUHTmVEQSgB1nFur,222960
98,0.811,0.856,-8.639,0.0329,0.182,0.147,0.0894,0.88,124.943,6FqeGot27B0seBlPNLUAxc,183880
99,0.58,0.391,-14.845,0.0408,0.596,0.839,0.161,0.693,102.107,3EXugR2QVZDWwPGBQd0BqF,327523
100,0.736,0.664,-8.721,0.177,2.52e-05,0.0618,0.585,0.634,139.998,0KSDS9ZU6slkPu6qgtGFab,214360
101,0.446,0.546,-6.195,0.0439,0.508,0.0145,0.11,0.442,82.399,5e2HJSbhPghl0rjsk5c99H,248760
102,0.648,0.793,-4.973,0.0348,0.000219,0.0351,0.177,0.855,130.01,30vUrk8y55l9qeMf68B5cf,326547
103,0.721,0.945,-5.713,0.0609,0.0511,0.0637,0.0918,0.418,125.032,2DP1eQZqaym2CloyAYcCMV,316880
104,0.622,0.903,-2.166,0.0507,0.00578,0.000122,0.194,0.886,140.931,77n8W3Z2Axb44fccihKnlV,196813
105,0.766,0.637,-5.243,0.0345,0.0979,0.00119,0.294,0.848,115.942,1wEfsZJgmh06kMX4faqs1C,190729
106,0.453,0.528,-8.999,0.0328,0.683,0.957,0.109,0.581,173.031,12pBP5LcD7cugjGiFPqNVW,306707
107,0.459,0.371,-8.872,0.0263,0.851,3.75e-05,0.107,0.232,94.972,1ayDRbTdLBfXXZSo1ojLOb,290280
108,0.601,0.196,-13.544,0.0335,0.802,0.791,0.0905,0.14,98.855,53CtAPw9KejagwXJQLSOEQ,712320
