,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.664,0.283,-7.458,0.0498,0.87,0.0,0.345,0.558,110.375,4xoRJ2BJWRo5kFoEu4BpvC,145300
1,0.581,0.0549,-20.514,0.0397,0.559,0.0,0.0718,0.234,152.037,3B7udSGy2PfgoCniMSb523,300840
2,0.584,0.668,-7.885,0.031,0.00354,3e-05,0.11,0.214,89.964,1LrrehEWmldzxiqqRIuikp,182667
3,0.55,0.689,-7.76,0.094,0.0498,0.0,0.207,0.408,99.904,6DsFZITJMPnh8z5XewfVmL,224487
4,0.564,0.745,-7.733,0.31,0.265,0.0,0.147,0.351,170.661,6y2Kaz9QI01XBKJ8mTb7Pf,239627
5,0.602,0.707,-4.097,0.302,0.393,0.0,0.165,0.554,75.087,58zsLZPvfflaiIbNWoA22O,200187
6,0.461,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,6PCUP3dWmTjcTtXY02oFdT,261154
7,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,6RUKPb4LETWmmr3iAEQktW,247160
8,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,4VrWlk8IQxevMvERoX08iC,216120
9,0.609,0.444,-9.129,0.106,0.603,6.86e-06,0.104,0.166,118.402,3XVBdLihbNbxUwZosxcGuJ,228707
10,0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943,0afhq8XCExXpqazXczTSve,170827
11,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400
12,0.628,0.797,-3.953,0.0596,0.0364,0.0,0.104,0.321,106.93,7EI6Iki24tBHAMxtb4xQN2,215064
13,0.663,0.577,-7.518,0.0531,0.109,0.0,0.12,0.454,89.996,58kZ9spgxmlEznXGu6FPdQ,193200
14,0.632,0.702,-5.92,0.148,0.0114,0.0,0.108,0.523,162.958,7K5dzhGda2vRTaAWYI3hrb,215414
15,0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,0.56,176.042,04aAxqtGp5pv12UXAg4pkq,228360
16,0.866,0.813,-4.063,0.0554,0.38,0.0,0.0779,0.969,121.998,7JJmb5XwzOO8jgpou264Ml,199440
17,0.491,0.588,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,0Qh38w01QRXK6KHIv0e3hb,269600
18,0.658,0.678,-4.407,0.058,0.303,0.0,0.361,0.662,97.976,5yFSF6qQA1rcLsQRnBsZgb,199111
19,0.662,0.858,-4.844,0.0428,0.00163,0.0,0.0456,0.295,133.993,6Pgkp4qUoTmJIPn7ReaGxL,181673
20,0.731,0.794,-5.126,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,0CokSRCu5hZgPxcZBaEzVE,220454
21,0.653,0.81,-6.032,0.0558,0.118,0.0,0.126,0.583,121.951,3bWAqKDWg6u1davspr5IkS,189307
22,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,3eR23VReFzcdmS7TYCrhCe,220781
23,0.69,0.876,-4.159,0.059,0.0428,0.0,0.147,0.493,123.994,3b5Li4QKDVBx1x7fQuu54a,192112
24,0.562,0.8,-5.404,0.112,0.0814,0.0,0.199,0.471,95.029,7qvxFz3JodM0A7xEM7k3YD,237733
