,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.697,0.874,-2.15,0.0449,0.0122,0.0,0.627,0.775,132.018,2qQpFbqqkLOGySgNK8wBXt,213880
1,0.688,0.909,-1.992,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,0BTaaKT4RMbs5M73tOHX5Y,210573
2,0.781,0.814,-2.437,0.1,0.0735,1.92e-05,0.0565,0.546,124.028,5awNIWVrh2ISfvPd5IUZNh,201120
3,0.764,0.802,-4.217,0.0351,0.102,0.0,0.189,0.323,132.02,5BXr7hYZQOeRttkeWYTq5S,194080
4,0.759,0.886,-3.067,0.187,0.0103,2.04e-05,0.342,0.489,102.065,56Yxkm62GtEpnPyG7TvwLY,191462
5,0.657,0.88,-3.672,0.102,0.121,0.0,0.463,0.769,150.084,37ZtpRBkHcaq6hHy0X98zn,205493
6,0.625,0.931,-1.885,0.151,0.138,0.0,0.309,0.863,154.061,3RtapbUtHJgnVlZWahStUS,199965
7,0.69,0.931,-2.061,0.0298,0.0325,4.37e-05,0.199,0.957,126.983,5fWKr5p15BTazjflJ6HX5j,193154
8,0.647,0.921,-4.078,0.0561,0.14,1.11e-06,0.379,0.774,114.991,5dF22XUGeNAR3GBhMgshgp,220795
9,0.664,0.666,-2.203,0.0446,0.193,0.0,0.0854,0.405,139.987,3CYH422oy1cZNoo0GTG1TK,210560
10,0.79,0.853,-4.564,0.0666,0.00116,4.23e-05,0.329,0.713,125.0,38rUIlTX93Aoif3WcY1wv6,199874
11,0.663,0.857,-3.457,0.0581,0.0524,0.0,0.591,0.75,99.014,6SSC9KZQaxBdyipKRigrFC,194941
12,0.701,0.556,-7.42,0.0414,0.00886,0.000122,0.106,0.333,152.045,1XnpzbOGptRwfJhZgLbmSr,201122
13,0.809,0.911,-4.41,0.0617,0.00795,0.000179,0.181,0.64,122.035,4pspYVQGFHLPEFgQPD1J7e,191242
14,0.782,0.731,-4.581,0.143,0.0376,3.15e-05,0.0956,0.824,138.032,24nK8tW7Pt3Inh2utttuoG,195307
15,0.668,0.828,-5.034,0.0739,0.036,0.0,0.0932,0.393,140.042,4lQsB3ERTWSNaAN1IkuNRl,211350
16,0.702,0.913,-2.977,0.0374,0.0514,3.72e-06,0.166,0.735,137.981,26OVhEqFDQH0Ij77QtmGP9,237680
17,0.708,0.959,-1.338,0.0604,0.0296,0.00188,0.107,0.644,128.981,3Hz3tTQwOdM6XkA0ALB2G9,206867
18,0.62,0.761,-2.736,0.334,0.22,0.0,0.143,0.626,207.819,15rX80MpEJ2OqW3dPunQvI,196680
19,0.82,0.842,-3.853,0.272,0.157,0.0,0.112,0.653,107.952,0XuepwFJUcKN8T5zTqoP0F,189287
20,0.736,0.915,-1.99,0.0766,0.0192,0.0,0.33,0.831,110.017,5zTp64MsWOTdAWWXK7zEPK,200933
21,0.668,0.705,-5.731,0.0356,0.0274,0.0,0.215,0.549,129.984,2FymmKBuog0loCuNXMwQID,186760
22,0.778,0.789,-4.297,0.0503,0.0334,2.05e-06,0.225,0.799,145.99,64iDjAuWDogVhuoWhKklF9,202543
23,0.735,0.93,-2.768,0.0658,0.059,0.0,0.138,0.842,123.999,3hicr5nSY0RrKGEy3nYZwU,205227
24,0.956,0.714,-5.12,0.197,0.0969,0.0,0.069,0.62,128.051,0deWmYkaZHaElUm15oVXkE,174440
25,0.702,0.692,-5.405,0.0539,0.0542,0.0,0.0877,0.419,144.896,2xtP8RNbo2BEMzLX7tK7aq,204168
26,0.693,0.759,-2.9,0.208,0.055,1.36e-06,0.116,0.635,112.983,0P8lbWigAHXPKxUG60xh79,198520
27,0.799,0.772,-3.272,0.105,0.213,0.0,0.0892,0.61,141.968,39kH6C2twlYjyssIW02sbr,170560
