,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.849,0.582,-6.407,0.214,0.113,0.0,0.152,0.516,100.049,4k0ZX0KlMBEOlTp5vexIrT,156837
1,0.785,0.62,-6.667,0.254,0.0138,0.0,0.15,0.478,78.477,59J5nzL1KniFHnU120dQzt,235535
2,0.743,0.87,-2.188,0.212,0.0595,0.0,0.299,0.884,99.079,3wScL5W8H40zzCKN0atfBk,194184
3,0.702,0.708,-5.366,0.0547,0.201,0.0,0.118,0.713,147.98,27a1mYSG5tYg7dmEjWBcmL,198408
4,0.81,0.353,-9.931,0.31,0.588,0.0,0.102,0.0727,88.031,0AluA5RNsa4Cx6XRhf2hWZ,208293
5,0.963,0.346,-9.309,0.53,0.0355,0.0,0.108,0.562,119.957,6vN77lE9LK6HP2DewaN6HZ,142273
6,0.791,0.582,-7.323,0.286,0.0114,0.0,0.35,0.443,162.991,1e1JKLEDKP7hEQzJfNAgPl,181812
7,0.487,0.789,-3.69,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,7wBJfHzpfI3032CSD7CE2m,270715
8,0.93,0.561,-8.053,0.25,0.101,0.0,0.0992,0.596,140.987,6igOR5QCn09zAVF2ikZjsV,184093
9,0.809,0.461,-5.677,0.0907,0.000832,4.43e-05,0.143,0.325,85.992,4f1XXGjZZ9EkFkrbPJek6X,167410
10,0.925,0.443,-8.216,0.264,0.0172,0.0,0.276,0.35,136.078,2bjwRfXMk4uRgOD9IBYl9h,236615
11,0.817,0.816,-5.402,0.269,0.00263,0.0,0.159,0.508,181.982,2UVbBKQOdFAekPTRsnkzcf,190288
12,0.703,0.709,-6.452,0.402,0.00908,0.0,0.127,0.569,140.998,3cqZH3cqvfbV8wVbvHyPbG,163340
13,0.825,0.572,-6.067,0.0864,0.0079,0.0,0.113,0.568,141.991,75lcPkAkUsKWHGBlGM476R,175954
14,0.804,0.763,-5.48,0.0519,0.0678,0.0,0.368,0.0585,136.052,6BJbOXDlgVAXSaq6wYFYT2,156886
15,0.788,0.639,-7.834,0.319,0.433,0.0,0.142,0.746,81.482,2xEvCnhZMxvvRwaF4le8UV,137356
16,0.859,0.563,-6.635,0.112,0.0541,0.0,0.0685,0.412,119.934,1MJErNPIQUoEMu4YUUmecm,258789
17,0.795,0.568,-7.817,0.142,0.0541,0.0,0.108,0.478,136.173,0B8QzDH7YWih85V5SEMnyJ,198944
18,0.795,0.728,-4.712,0.0544,0.207,0.0,0.237,0.582,146.979,790MhTXPFrYkrqCKvpg4t1,228080
19,0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,155.096,7GX5flRQZVHRAGd6B4TmDO,182707
20,0.812,0.621,-8.3,0.0515,0.244,0.0,0.099,0.847,77.998,5uQOauh47VFt3B2kV9kRXw,128157
21,0.767,0.803,-4.773,0.0571,0.00452,1.75e-05,0.0961,0.317,142.039,0aLo146zdEelBv1dc5YyME,179591
22,0.747,0.571,-7.916,0.478,0.38,0.0,0.534,0.553,172.104,79XrkTOfV1AqySNjVlygpW,181933
23,0.699,0.558,-7.622,0.0603,0.462,0.0,0.116,0.493,79.992,7zLYKWcXnYeHHWidalz7rj,165000
24,0.815,0.737,-4.474,0.0447,0.25,1.55e-06,0.186,0.767,105.056,5EOF6DK6p9KycvqZwGcQzh,196519
25,0.812,0.522,-5.287,0.257,0.0433,0.0,0.154,0.38,75.524,0Fv5N0cHBsl4bzCbollCAS,142907
26,0.681,0.314,-9.319,0.0581,0.2,9.82e-06,0.1,0.166,139.992,6mapJIPnQ23RTAevUoE0DL,208120
27,0.766,0.442,-8.558,0.356,0.000107,6.12e-05,0.111,0.39,201.8,4Kz4RdRCceaA9VgTqBhBfa,181573
28,0.7,0.556,-8.356,0.128,0.261,0.0,0.144,0.351,77.943,4XwmdaPVSHsvxsuKS7HBdl,135419
29,0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,6gBFPUFcJLzWGx4lenP6h2,243837
30,0.402,0.526,-6.741,0.0904,0.113,8.33e-06,0.105,0.312,81.404,51EC3I1nQXpec4gDk0mQyP,339067
31,0.839,0.81,-5.274,0.0568,0.501,0.0,0.117,0.814,129.014,1f5cbQtDrykjarZVrShaDI,209269
32,0.865,0.687,-3.744,0.217,0.242,0.0,0.158,0.486,139.023,1rkfJLgTlB6XYNjgZ0sVaK,242407
33,0.69,0.521,-8.492,0.339,0.324,0.0,0.0534,0.494,100.028,68Dni7IE4VyPkTOH9mRWHr,292799
34,0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062,0VgkVdmE4gld66l8iyGjgx,204600
35,0.585,0.52,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.801,0e7ipj03S05BNilyu5bRzt,218147
