,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.403,0.965,-2.238,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,1IT0WQk5J8NsaeII8ktdlZ,236293
1,0.235,0.965,-2.882,0.28,0.00887,0.0,0.0448,0.322,185.278,7l0Lr7Tl4Gt8hQj4v3rwtf,231840
2,0.397,0.975,-3.532,0.365,0.00152,0.0,0.118,0.451,192.021,3ouugfdFz6exFXUxu7wRvD,250240
3,0.417,0.976,-4.696,0.0665,0.000351,0.000117,0.074,0.463,186.081,2ZhswJTKMkNNTAjrTmPhOJ,255840
4,0.276,0.814,-5.048,0.0998,0.000681,0.0,0.107,0.472,144.793,4JIYKZzKnlPhL28h0uixzZ,193584
5,0.503,0.881,-4.502,0.0827,0.0261,0.0,0.482,0.597,101.038,1Fu9o08qEKVEwzU8siVcig,187880
6,0.475,0.987,-3.515,0.121,0.00028,2.4e-06,0.335,0.632,162.005,0TPF6uW7fhMXJPoBERqTy5,213741
7,0.21,0.94,-3.427,0.123,0.00602,0.0,0.269,0.255,179.722,7lRlq939cDG4SzWOF4VAnd,186480
8,0.419,0.938,-3.12,0.0837,0.000683,0.0,0.114,0.333,160.151,1KTJmfwrk5pYqsi9mkY3nT,232320
9,0.402,0.924,-3.867,0.159,0.00106,0.0,0.0786,0.445,169.996,72vsd9IEBIonmvIY7TEjXK,204053
10,0.376,0.939,-2.094,0.0782,4.57e-05,0.00023,0.109,0.529,167.905,0vI2m662QiemSccfCoN9gR,244587
11,0.531,0.984,-3.767,0.0652,0.0017,1.13e-05,0.361,0.386,107.036,2G8PweZBBwTpyP8vpNQJK2,268480
12,0.675,0.97,-2.164,0.0613,0.00777,0.0,0.331,0.568,106.973,5JUufCEin0aXyFLXCzJbUL,213371
13,0.486,0.948,-4.61,0.208,0.0397,0.0,0.258,0.188,110.033,5LfFjqx9c83BMXrJVfYT0Y,151960
14,0.343,0.98,-4.124,0.0934,6.92e-06,0.0578,0.131,0.461,194.909,3ItCQd3vvharrdNrBzZuIY,237173
15,0.387,0.929,-4.825,0.161,0.00238,7.22e-06,0.314,0.591,180.359,40i81AcCCxiVEFUWElcjZC,198080
16,0.535,0.929,-4.223,0.0958,0.0056,0.0,0.0925,0.649,146.068,13b32GfUIo3BV93C8KtEdj,193552
17,0.459,0.895,-3.126,0.0805,0.00725,0.0,0.206,0.572,181.04,0JJP0IS4w0fJx01EcrfkDe,182827
18,0.463,0.857,-3.063,0.0632,0.0506,0.0,0.184,0.856,111.647,7j31rVgGX9Q2blT92VBEA0,161920
19,0.15,0.859,-2.827,0.0595,0.00201,0.194,0.387,0.354,170.527,0WSa1sucoNRcEeULlZVQXj,228147
20,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,3l9CW99AHtExIRV4hW2N5m,211520
21,0.448,0.935,-3.34,0.108,0.000266,1.43e-05,0.163,0.449,164.97,4wnQakFNePOBNxRDYqgeix,187933
22,0.494,0.842,-4.784,0.0843,0.00579,0.0,0.122,0.574,162.011,2TfSHkHiFO4gRztVIkggkE,229093
23,0.501,0.928,-1.711,0.141,0.125,0.0,0.368,0.481,120.053,3k6wToN16ErYDv8FWvb3lG,214000
