,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.494,0.945,-2.982,0.0617,0.00107,0.0,0.125,0.333,144.985,3nSglalUiJYQfUsnzvI5Px,280800
1,0.434,0.939,-2.983,0.0593,0.0425,0.0,0.491,0.569,159.932,0nkzd3yNniB767zSDDdLZ3,209493
2,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,2nLtzopw4rPReszdYBJU6h,185587
3,0.512,0.694,-7.048,0.0271,0.000545,0.000156,0.0667,0.271,135.026,7EhPQwn1H9JmPPNR9tsg87,267047
4,0.553,0.853,-3.668,0.0339,0.000684,0.0,0.126,0.506,122.023,56sk7jBpZV0CD31G9hEU3b,231400
5,0.483,0.941,-3.598,0.0575,0.000526,3.5e-06,0.31,0.503,156.033,5O9Dz0h08LuBi0aVvDcylh,232067
6,0.64,0.957,-2.336,0.0741,0.0431,0.0,0.0789,0.692,134.992,2UREu1Y8CO4jXkbvqAtP7g,178013
7,0.533,0.967,-2.543,0.0995,0.00791,0.0,0.336,0.782,142.018,4CbKVDZkYKdv69I4bCaKUq,186813
8,0.627,0.926,-3.134,0.0622,0.0263,0.0,0.0959,0.731,146.028,1ZwmDEK89GQu02gLuaqOTQ,185001
9,0.426,0.934,-4.063,0.0685,2.97e-05,0.0089,0.113,0.285,160.077,4EyPadLFhtWojU7mkT5hqT,262013
10,0.41,0.927,-5.827,0.0921,0.000373,0.0,0.203,0.242,145.015,2Zp5TFsVRKnAoqoFK05RLW,204813
11,0.404,0.85,-5.043,0.048,0.000115,1.57e-06,0.289,0.342,158.081,1Ok9uS26GnTfIrf6t2iWte,192453
12,0.425,0.936,-5.52,0.0829,2.1e-05,0.0,0.926,0.417,158.046,1wFRkVclQWfMQQcaVLjmBE,219107
13,0.451,0.692,-4.741,0.0398,0.287,0.0,0.115,0.423,174.122,2uZWffKoemZDI0gHcBEcDc,207069
14,0.392,0.941,-4.086,0.0866,4.48e-06,0.0,0.126,0.385,187.966,77s3P2Rk96T54BE0dGCMt9,195752
